symboling,CarName,fueltype,carbody,drivewheel,enginelocation,citympg,highwaympg,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,stroke,horsepower,peakrpm,price
3,alfa-romero giulia,gas,convertible,rwd,front,21,27,88.6,168.8,64.1,48.8,2548,dohc,four,130,2.68,111,5000,13495
3,alfa-romero stelvio,gas,convertible,rwd,front,21,27,88.6,168.8,64.1,48.8,2548,dohc,four,130,2.68,111,5000,16500
1,alfa-romero Quadrifoglio,gas,hatchback,rwd,front,19,26,94.5,171.2,65.5,52.4,2823,ohcv,six,152,3.47,154,5000,16500
2,audi 100 ls,gas,sedan,fwd,front,24,30,99.8,176.6,66.2,54.3,2337,ohc,four,109,3.4,102,5500,13950
2,audi 100ls,gas,sedan,4wd,front,18,22,99.4,176.6,66.4,54.3,2824,ohc,five,136,3.4,115,5500,17450
2,audi fox,gas,sedan,fwd,front,19,25,99.8,177.3,66.3,53.1,2507,ohc,five,136,3.4,110,5500,15250
1,audi 100ls,gas,sedan,fwd,front,19,25,105.8,192.7,71.4,55.7,2844,ohc,five,136,3.4,110,5500,17710
1,audi 5000,gas,wagon,fwd,front,19,25,105.8,192.7,71.4,55.7,2954,ohc,five,136,3.4,110,5500,18920
1,audi 4000,gas,sedan,fwd,front,17,20,105.8,192.7,71.4,55.9,3086,ohc,five,131,3.4,140,5500,23875
0,audi 5000s (diesel),gas,hatchback,4wd,front,16,22,99.5,178.2,67.9,52,3053,ohc,five,131,3.4,160,5500,17859.167
2,bmw 320i,gas,sedan,rwd,front,23,29,101.2,176.8,64.8,54.3,2395,ohc,four,108,2.8,101,5800,16430
0,bmw 320i,gas,sedan,rwd,front,23,29,101.2,176.8,64.8,54.3,2395,ohc,four,108,2.8,101,5800,16925
0,bmw x1,gas,sedan,rwd,front,21,28,101.2,176.8,64.8,54.3,2710,ohc,six,164,3.19,121,4250,20970
0,bmw x3,gas,sedan,rwd,front,21,28,101.2,176.8,64.8,54.3,2765,ohc,six,164,3.19,121,4250,21105
1,bmw z4,gas,sedan,rwd,front,20,25,103.5,189,66.9,55.7,3055,ohc,six,164,3.19,121,4250,24565
0,bmw x4,gas,sedan,rwd,front,16,22,103.5,189,66.9,55.7,3230,ohc,six,209,3.39,182,5400,30760
0,bmw x5,gas,sedan,rwd,front,16,22,103.5,193.8,67.9,53.7,3380,ohc,six,209,3.39,182,5400,41315
0,bmw x3,gas,sedan,rwd,front,15,20,110,197,70.9,56.3,3505,ohc,six,209,3.39,182,5400,36880
2,chevrolet impala,gas,hatchback,fwd,front,47,53,88.4,141.1,60.3,53.2,1488,l,three,61,3.03,48,5100,5151
1,chevrolet monte carlo,gas,hatchback,fwd,front,38,43,94.5,155.9,63.6,52,1874,ohc,four,90,3.11,70,5400,6295
0,chevrolet vega 2300,gas,sedan,fwd,front,38,43,94.5,158.8,63.6,52,1909,ohc,four,90,3.11,70,5400,6575
1,dodge rampage,gas,hatchback,fwd,front,37,41,93.7,157.3,63.8,50.8,1876,ohc,four,90,3.23,68,5500,5572
1,dodge challenger se,gas,hatchback,fwd,front,31,38,93.7,157.3,63.8,50.8,1876,ohc,four,90,3.23,68,5500,6377
1,dodge d200,gas,hatchback,fwd,front,24,30,93.7,157.3,63.8,50.8,2128,ohc,four,98,3.39,102,5500,7957
1,dodge monaco (sw),gas,hatchback,fwd,front,31,38,93.7,157.3,63.8,50.6,1967,ohc,four,90,3.23,68,5500,6229
1,dodge colt hardtop,gas,sedan,fwd,front,31,38,93.7,157.3,63.8,50.6,1989,ohc,four,90,3.23,68,5500,6692
1,dodge colt (sw),gas,sedan,fwd,front,31,38,93.7,157.3,63.8,50.6,1989,ohc,four,90,3.23,68,5500,7609
1,dodge coronet custom,gas,sedan,fwd,front,24,30,93.7,157.3,63.8,50.6,2191,ohc,four,98,3.39,102,5500,8558
-1,dodge dart custom,gas,wagon,fwd,front,24,30,103.3,174.6,64.6,59.8,2535,ohc,four,122,3.46,88,5000,8921
3,dodge coronet custom (sw),gas,hatchback,fwd,front,19,24,95.9,173.2,66.3,50.2,2811,ohc,four,156,3.9,145,5000,12964
2,honda civic,gas,hatchback,fwd,front,49,54,86.6,144.6,63.9,50.8,1713,ohc,four,92,3.41,58,4800,6479
2,honda civic cvcc,gas,hatchback,fwd,front,31,38,86.6,144.6,63.9,50.8,1819,ohc,four,92,3.41,76,6000,6855
1,honda civic,gas,hatchback,fwd,front,38,42,93.7,150,64,52.6,1837,ohc,four,79,3.07,60,5500,5399
1,honda accord cvcc,gas,hatchback,fwd,front,30,34,93.7,150,64,52.6,1940,ohc,four,92,3.41,76,6000,6529
1,honda civic cvcc,gas,hatchback,fwd,front,30,34,93.7,150,64,52.6,1956,ohc,four,92,3.41,76,6000,7129
0,honda accord lx,gas,sedan,fwd,front,30,34,96.5,163.4,64,54.5,2010,ohc,four,92,3.41,76,6000,7295
0,honda civic 1500 gl,gas,wagon,fwd,front,30,34,96.5,157.1,63.9,58.3,2024,ohc,four,92,3.41,76,6000,7295
0,honda accord,gas,hatchback,fwd,front,27,33,96.5,167.5,65.2,53.3,2236,ohc,four,110,3.58,86,5800,7895
0,honda civic 1300,gas,hatchback,fwd,front,27,33,96.5,167.5,65.2,53.3,2289,ohc,four,110,3.58,86,5800,9095
0,honda prelude,gas,sedan,fwd,front,27,33,96.5,175.4,65.2,54.1,2304,ohc,four,110,3.58,86,5800,8845
